id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
18744454,The Chateau-Stunning huge villa with private pool,26094712,Chris,,Zejtun,35.85467,14.54893,Entire home/apt,250,2,13,3,2021-01-24,9,291
34925897,Countryside B&B Farmhouse near beaches.,257165977,Deborah,,Zejtun,35.85009,14.54774,Private room,34,2,36,6,2020-08-17,2,118
26266404,Tastefully finished La Vallette apartment,67181402,Clive,,Qormi,35.87876,14.47648,Entire home/apt,45,2,79,8,2020-09-20,3,197
29388800,"Similian Apartments,  3 Bedroom with en-suite",217804068,Doreen,,Zejtun,35.85068,14.53276,Entire home/apt,100,4,4,0,2019-09-03,2,365
789063,An enjoyable stay with M & M,3785604,Emanuel & Miriam Sammut,,Qormi,35.88448,14.47269,Private room,35,1,113,1,2020-02-20,1,365
37901177,Villa Chossie-Beautiful villa with private pool,26094712,Chris,,Zejtun,35.85613,14.54326,Entire home/apt,240,2,2,2,2020-02-20,9,336
30369295,Holiday Apartment,228009067,Silvio & Doris,,Zejtun,35.84922,14.52857,Entire home/apt,80,3,2,0,2019-08-19,1,364
215715,Old charms & new comforts,690681,Audrey,,Qormi,35.87794,14.47033,Private room,30,3,3,0,2019-11-30,3,31
215718,Old charms & new comforts,690681,Audrey,,Qormi,35.87674,14.46858,Private room,25,3,35,0,2019-12-06,3,31
34863249,1 PRIVATE BEDROOM AND BATHROOM - CENTRAL MALTA,262067034,Dorianne,,Qormi,35.8774,14.46993,Private room,21,1,21,4,2020-10-17,1,87
25502740,Charming & Sweet 300 Y.O.Townhouse in Mdina Centre,8615907,Andrea,,Mdina,35.88628,14.40264,Entire home/apt,45,4,55,6,2020-08-19,4,353
19972576,Romantic room at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.88397,14.40193,Private room,35,1,89,26,2021-01-17,10,291
37899997,Villa Lyons - Private pool modern villa with views,26094712,Chris,,Zejtun,35.85495,14.54442,Entire home/apt,240,2,4,4,2020-09-21,9,354
5623632,Villa Sky-Charming spacious villa with privatepool,26094712,Chris,,Zejtun,35.85469,14.54895,Entire home/apt,240,2,33,2,2020-09-21,9,338
44137041,Il-Qastna Holiday Accommodation,354859475,Joseph,,Zejtun,35.85668,14.54609,Entire home/apt,110,3,1,1,2020-08-20,1,351
757581,"Mdina, a unique historic  B&B",3987056,Antonio,,Mdina,35.88552,14.40192,Private room,55,2,222,3,2020-09-08,1,358
43842875,Single room with balcony,305209494,Therese,,Qormi,35.881,14.46775,Private room,18,1,3,3,2020-08-30,11,184
